[2026-04-02 16:12:56 UTC] audio                SKIP       audio.mp3 already exists
[2026-04-02 16:12:56 UTC] transcript           START      Transcribing with Whisper
[2026-04-02 16:14:46 UTC] transcript           DONE       29 KB
[2026-04-02 16:14:46 UTC] show_notes           START      Generating with Claude
[2026-04-02 16:15:15 UTC] show_notes           DONE       4 KB
[2026-04-02 16:15:15 UTC] rss                  START      Updating RSS feed
[2026-04-02 16:15:15 UTC] rss                  FAIL       No module named 'feedgen'
[2026-04-02 16:15:26 UTC] rss                  START      Updating RSS feed
[2026-04-02 16:15:27 UTC] rss                  DONE       https://pub-4ff2e85593bd4bee9df83cd32bec10ca.r2.dev/feed/podcast.xml
[2026-04-02 17:30:38 UTC] rss                  START      Updating RSS feed
[2026-04-02 17:30:38 UTC] rss                  FAIL       Illegal character '\n' (at line 5, column 82)
