rank,ligue,accessibility_note,name,primary_org,category,relevance_score,episode_angle,linkedin_url,linkedin_followers,linkedin_confidence,linkedin_note,linkedin_evidence_url
1,Champions League,"Moonshot: very high-profile, institutional, or likely hard to book",Arthur Mensch,Mistral AI,frontier AI lab,10,"Building a European frontier AI lab, open-weight strategy, sovereignty",https://fr.linkedin.com/in/arthur-mensch/fr,208000,medium,Found LinkedIn personal profile on LinkedIn (French localized domain). Preferred linkedin.com/in format may also work (localized URL used as evidence).,https://fr.linkedin.com/in/arthur-mensch/fr
2,Ligue 1,Reachable with warm intro or timely angle; senior/busy profile,Guillaume Lample,Mistral AI,LLM research,10,"LLM architecture, training, reasoning, multilingual models",https://fr.linkedin.com/in/guillaume-lample-7821095b,10000,medium,Found LinkedIn personal profile on LinkedIn (French localized domain).,https://fr.linkedin.com/in/guillaume-lample-7821095b
3,Ligue 1,Reachable with warm intro or timely angle; senior/busy profile,Timothée Lacroix,Mistral AI,LLM infrastructure,10,"LLM infra, serving, scaling, production engineering",https://www.linkedin.com/in/timothee-lacroix-59517977,6000,medium,Personal LinkedIn profile found; name contains accented character in original but profile uses ascii handle.,https://www.linkedin.com/in/timothee-lacroix-59517977
4,Champions League,"Moonshot: very high-profile, institutional, or likely hard to book",Clément Delangue,Hugging Face,open-source AI,10,"Open-source AI ecosystem, model hubs, community, regulation",https://www.linkedin.com/in/clementdelangue,307000,high,Clear personal LinkedIn profile (preferred linkedin.com/in handle).,https://www.linkedin.com/in/clementdelangue
5,Ligue 1,Reachable with warm intro or timely angle; senior/busy profile,Thomas Wolf,Hugging Face,open-source AI research,10,"Transformers, open science, agents, LeRobot/smolagents",https://www.linkedin.com/in/thom-wolf,184000,medium,LinkedIn personal profile 'thom-wolf' matches public references to Hugging Face cofounder Thom/Thomas Wolf; some name ambiguity exists so confidence is medium.,https://www.linkedin.com/in/thom-wolf
6,Champions League,"Moonshot: very high-profile, institutional, or likely hard to book",Julien Chaumond,Hugging Face,AI developer tools,9,"Developer tools, model hosting, AI product infrastructure",https://www.linkedin.com/in/julienchaumond,251000,high,Clear personal LinkedIn profile (preferred linkedin.com/in handle).,https://www.linkedin.com/in/julienchaumond
7,Champions League,"Moonshot: very high-profile, institutional, or likely hard to book",Yann LeCun,Meta / NYU,AI research,10,"World models, open research, alternatives to autoregressive LLMs",https://www.linkedin.com/in/yann-lecun,1000000,high,Well-known public LinkedIn profile (preferred linkedin.com/in handle).,https://www.linkedin.com/in/yann-lecun
8,Champions League,"Moonshot: very high-profile, institutional, or likely hard to book",François Chollet,Keras / ARC-AGI,AI evaluation,9,"AI evaluation, abstraction, developer ergonomics",https://www.linkedin.com/in/fchollet,2000,high,Clear personal LinkedIn profile (preferred linkedin.com/in handle).,https://www.linkedin.com/in/fchollet
9,Champions League,"Moonshot: very high-profile, institutional, or likely hard to book",Yoshua Bengio,Mila,AI safety / research,9,"AI safety, frontier models, Canadian/French-speaking AI ecosystem",https://ca.linkedin.com/in/yoshuabengio,83000,high,Found LinkedIn personal profile (Canada localized domain).,https://ca.linkedin.com/in/yoshuabengio
10,Champions League,"Moonshot: very high-profile, institutional, or likely hard to book",Joëlle Pineau,Meta / McGill,RL / research leadership,9,"RL, reproducibility, applied research leadership",https://ca.linkedin.com/in/joelle-pineau-371574141,31000,high,Found LinkedIn personal profile (Canada localized domain). Profile handle includes numeric suffix as in evidence.,https://ca.linkedin.com/in/joelle-pineau-371574141
